NLab,Year,Densidad,Sexo,Edad,EdadClase,CondicionCorporal,ELISAInfluenza,ELISAPRRS,ELISAADV,ELISAPPV,ELISAPCV,ELISAPCV2,PCRMycoPul,PCRHaemoPul,PCRAPPPul,PCRPCVPul,Metastronguilus_Clas,Metastrongilus,Lesion_Pulm,Tipo,Duracion,Score,NL_TRQ,NIntersticial,Bronconeumonia,Pleuritis,Peribronquitis,Bronquitis,HiperNT2,Enfisema,Necrosis,Score_Micro,Tej_Conjuntivo,Granulomas,Granuloma_Pul,Tipo_Granuloma,Granuloma_NL,TB_Generalizada,TB
1764,2011-2012,23.0,Macho,4.0,Adult,-35.18813257,Positivo,Negativo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Positivo,5.0,Si,NoLob,Subaguda,12.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,No,,No,,Negativo
1804,2011-2012,,Macho,1.5,NonAdult,0.40151941,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Positivo,Negativo,Negativo,Negativo,Positivo,6.0,No,,,,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,No,,Si,Positivo,Positivo
2297,2011-2012,13.0,Hembra,1.7,NonAdult,-5.5294938060000005,Negativo,Negativo,Positivo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Positivo,Positivo,6.0,No,,,,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,3.0,Si,2,No,Generalizada,Positivo
2403,2011-2012,23.0,Macho,1.9,NonAdult,-19.20537927,,,,,,,Positivo,Negativo,Negativo,Negativo,Positivo,7.0,No,,,,0.0,,,,,,,,,,,,,,,,
1778,2011-2012,24.0,Macho,,,,Negativo,Negativo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Positivo,7.0,Si,NoLob,Subaguda,16.0,2.0,4.0,3.0,1.0,6.0,0.0,0.0,1.0,3.0,17.0,0.0,6.0,Si,1_4,,Generalizada,Positivo
2278,2011-2012,13.0,Hembra,4.0,Adult,-5.170885877,Positivo,Negativo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Positivo,7.0,No,,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,No,,No,,Negativo
2274,2011-2012,13.0,Hembra,2.0,Adult,-8.315696448999999,Negativo,Negativo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Positivo,8.0,No,,,,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,,0.0,0.0,No,,,,
2398,2011-2012,23.0,Hembra,4.0,Adult,3.418766106,Negativo,Negativo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Positivo,9.0,No,,,,0.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,,0.0,0.0,No,,No,,Negativo
1759,2011-2012,32.0,Macho,3.0,Adult,,Negativo,Negativo,Negativo,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Positivo,10.0,Si(Quisteh),NoLob,Subaguda,28.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,No,,,,
2285,2011-2012,13.0,Hembra,3.0,Adult,5.632563462999999,,,,,,,Negativo,Negativo,Negativo,Negativo,Positivo,15.0,No,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,No,,No,,
1758,2011-2012,32.0,Hembra,3.0,Adult,,Positivo,Negativo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Positivo,15.0,Si,Lob,Subaguda,10.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,No,,No,,Negativo
2384,2011-2012,6.5,Macho,1.0,NonAdult,-3.905348432,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Positivo,Negativo,Negativo,Negativo,Positivo,15.0,Si,Lob,Subaguda,6.0,2.0,,,,,,,,,,,,,,,,
1779,2011-2012,24.0,Macho,3.0,Adult,,Negativo,Negativo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Positivo,15.0,Si,NoLob,Cronica,28.0,2.0,5.0,0.0,3.0,2.0,0.0,0.0,0.0,5.0,15.0,0.0,5.0,Si,4,Si,Generalizada,Positivo
1746,2011-2012,32.0,Hembra,2.5,Adult,-3.922595128,Negativo,Negativo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Positivo,15.0,Si,Lob,Subaguda,16.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,No,,No,,Negativo
1771,2011-2012,24.0,Hembra,2.5,Adult,12.4360128,Negativo,Negativo,Positivo,Negativo,Positivo,Positivo,Positivo,Negativo,Negativo,Negativo,Positivo,15.0,No,,,,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,No,,,,
