NLab,Year,Finca,Densidad,Sexo,Edad,EdadClase,CondicionCorporal,ELISAInfluenza,ELISAPRRS,ELISAADV,ELISAPPV,ELISAPCV,ELISAPCV2,PCRMycoPul,PCRHaemoPul,PCRAPPPul,PCRPCVPul,Metastronguilus_Clas,Metastrongilus,Lesion_Pulm,Tipo,Duracion,Score,NL_TRQ,NIntersticial,Bronconeumonia,Pleuritis,Peribronquitis,Bronquitis,HiperNT2,Enfisema,Necrosis,Score_Micro,Tej_Conjuntivo,Granulomas,Granuloma_Pul,Tipo_Granuloma,Granuloma_NL,TB_Generalizada,TB
2398,2011-2012,LasJaras,23,Hembra,4,Adult,3.418766106,Negativo,Negativo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Positivo,9,No,NA,NA,NA,0,5,0,0,2,0,0,1,0,NA,0,0,No,NA,No,NA,Negativo
1759,2011-2012,MorroLesmes,32,Macho,3,Adult,NA,Negativo,Negativo,Negativo,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Positivo,10,Si(Quisteh),NoLob,Subaguda,28,0,0,0,1,1,0,0,0,0,2,0,0,No,NA,NA,NA,NA
2285,2011-2012,PiedraSanta,13,Hembra,3,Adult,5.632563463,NA,NA,NA,NA,NA,NA,Negativo,Negativo,Negativo,Negativo,Positivo,15,No,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,No,NA,No,NA,NA
1758,2011-2012,MorroLesmes,32,Hembra,3,Adult,NA,Positivo,Negativo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Positivo,15,Si,Lob,Subaguda,10,1,0,2,2,2,0,0,0,0,6,0,0,No,NA,No,NA,Negativo
2384,2011-2012,TorricoSanPedro,6.5,Macho,1,NonAdult,-3.905348432,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Positivo,Negativo,Negativo,Negativo,Positivo,15,Si,Lob,Subaguda,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1779,2011-2012,Elcristo,24,Macho,3,Adult,NA,Negativo,Negativo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Positivo,15,Si,NoLob,Cronica,28,2,5,0,3,2,0,0,0,5,15,0,5,Si,4,Si,Generalizada,Positivo
1746,2011-2012,MorroLesmes,32,Hembra,2.5,Adult,-3.922595128,Negativo,Negativo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Positivo,15,Si,Lob,Subaguda,16,1,1,3,0,1,0,0,0,0,5,0,0,No,NA,No,NA,Negativo
1771,2011-2012,Elcristo,24,Hembra,2.5,Adult,12.4360128,Negativo,Negativo,Positivo,Negativo,Positivo,Positivo,Positivo,Negativo,Negativo,Negativo,Positivo,15,No,NA,NA,NA,0,1,0,0,2,0,0,1,0,3,0,0,No,NA,NA,NA,NA
1800,2011-2012,Aceitunillas,8,Hembra,2.5,Adult,-30.43642332,Negativo,Negativo,Negativo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Negativo,Positivo,15,Si,Lob,Cronica,6,2,1,1,2,4,2,0,0,0,10,0,0,No,NA,Si,Positivo,Positivo
2307,2011-2012,SanAnt?n,25.5,Macho,5.5,Adult,4.418766106,Positivo,Negativo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Positivo,15,No,NA,NA,NA,0,4,0,0,1,0,0,0,0,NA,0,0,No,NA,Si,Positivo,Positivo
