Nlab;Sexo;Edad;Mhyo;ADV;SIV;HPS;APP;PCV;PM;Metastrongylus;NIntersticial;Bronconeumonia;Peribronquitis;Bronquitis;Necrosis;TB
2651;Macho;3;Positivo;Negativo;Positivo;Negativo;Negativo;Positivo;Negativo;3;0;0;0;0;0;
2652;Hembra;3;Negativo;Negativo;Positivo;Negativo;Negativo;Positivo;Negativo;0;0;0;1;0;0;
2653;Hembra;4;Negativo;Negativo;Positivo;Negativo;Negativo;Positivo;Negativo;NA;0;0;1;0;0;
2654;Hembra;2;Positivo;Positivo;Positivo;Negativo;Negativo;Negativo;Negativo;0;0;0;0;0;0;
2655;Macho;0.9;Negativo;Negativo;Positivo;Negativo;Negativo;Positivo;Negativo;0;0;0;2;0;0;
2656;Macho;1.3;Positivo;Negativo;Negativo;Negativo;Negativo;Positivo;Negativo;0;0;0;0;0;0;
2657;Hembra;0.7;Negativo;Negativo;Negativo;Negativo;Negativo;Positivo;Negativo;18;0;0;0;0;0;
2658;Macho;1;Positivo;Negativo;Negativo;Negativo;Negativo;Positivo;Negativo;0;0;1;0;0;0;
2659;Hembra;0.7;Positivo;Negativo;Negativo;Negativo;Negativo;Positivo;Negativo;11;0;0;2;0;0;
2660;Hembra;1;Positivo;Negativo;Negativo;Negativo;Negativo;Positivo;Negativo;21;0;0;0;0;0;
2661;Hembra;2;Positivo;Negativo;Positivo;Negativo;Negativo;Positivo;Negativo;9;0;0;0;0;0;
2662;Hembra;1;Positivo;Negativo;Negativo;Negativo;Negativo;Positivo;Negativo;11;1;0;0;0;0;
2663;Hembra;0.7;Positivo;Negativo;Negativo;Negativo;Negativo;Positivo;Negativo;2;0;0;3;0;0;
2665;Hembra;1.3;Positivo;Negativo;Negativo;Negativo;Negativo;Positivo;Negativo;NA;0;0;4;0;0;
2671;Hembra;0.9;Positivo;Negativo;Negativo;Negativo;Negativo;Positivo;Negativo;NA;0;0;1;0;0;
2672;Hembra;NA;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;0;0;0;0;0;0;
2674;Macho;NA;Negativo;Negativo;Negativo;Negativo;Positivo;Negativo;Negativo;4;0;0;1;0;0;
2675;Hembra;NA;Negativo;Negativo;Negativo;Negativo;Positivo;Negativo;Negativo;0;1;0;0;0;0;
